tconst,averageRating,numVotes
tt0892769,8.1,650843
tt0898266,8.1,698133
tt0903624,7.8,745552
tt0903747,9.5,1384576
tt0910970,8.4,973672
tt0936501,7.8,557702
tt0944947,9.3,1699503
tt0947798,8,685643
tt0948470,6.9,549671
tt0988045,7.6,573665
tt0993846,8.2,1139623
tt1010048,8,785793
tt1024648,7.7,562759
tt1045658,7.7,650651
tt1049413,8.2,910366
tt1074638,7.7,619830
tt1119646,7.7,705411
tt1130884,8.2,1094392
tt1136608,7.9,629911
tt1156398,7.6,510325
tt1170358,7.8,590381
tt1201607,8.1,742424
tt1205489,8.1,706492
tt1211837,7.5,577749
tt1219289,7.4,518687
tt1228705,7,705567
tt1232829,7.2,501832
tt1250777,7.6,517410
tt1270798,7.7,636513
tt1276104,7.4,525785
tt1285016,7.7,608061
tt1300854,7.2,739146
tt1345836,8.4,1478643
tt1375666,8.8,1998323
tt1386697,6,585424
tt1392170,7.2,829936
tt1392190,8.1,855385
tt1392214,8.1,580169
tt1431045,8,881230
tt1446714,7,560158
tt1454468,7.7,755043
tt1475582,9.1,775588
tt1504320,8,627788
tt1520211,8.2,831898
tt1631867,7.9,585531
tt1637725,6.9,561781
tt1663202,8,684052
tt1670345,7.3,584630
tt1675434,8.5,735797
tt1798709,8,523177
tt1825683,7.3,592650
tt1843866,7.7,718338
tt1853728,8.4,1316107
tt1877832,8,649925
tt1951264,7.5,602616
tt1981115,6.9,581565
tt2015381,8,1022357
tt2024544,8.1,623883
tt2084970,8,667183
tt2096673,8.1,591723
tt2267998,8.1,832117
tt2278388,8.1,686785
tt2294629,7.4,560143
tt2395427,7.3,721854
tt2488496,7.9,844483
tt2527336,7,547090
tt2543164,7.9,574761
tt2562232,7.7,565825
tt2582802,8.5,689560
tt2802144,7.7,578809
tt2911666,7.4,519452
tt2975590,6.4,611394
tt3315342,8.1,626503
tt3498820,7.8,643191
tt3501632,7.9,563464
tt3659388,8,739853
tt3748528,7.8,537971
tt3896198,7.6,549197
tt4154756,8.4,794583
tt4154796,8.4,751535
tt4574334,8.8,761926
tt5013056,7.9,529153
tt7131622,7.6,504294
tt7286456,8.5,848381
